algorithm,n,k,time_ms
MergeSort,1000,999,0.0945
QuickSort,1000,999,0.0764
CountingSort,1000,999,0.0549
RadixSort,1000,999,0.1200
ARUCountingSort,1000,999,0.0956
MergeSort,1000,9999,0.0891
QuickSort,1000,9999,0.0597
CountingSort,1000,9999,0.1440
RadixSort,1000,9999,0.1177
ARUCountingSort,1000,9999,0.0985
MergeSort,1000,99999,0.0520
QuickSort,1000,99999,0.0231
CountingSort,1000,99999,0.2713
RadixSort,1000,99999,0.0353
ARUCountingSort,1000,99999,0.1012
MergeSort,1000,999999,0.0564
QuickSort,1000,999999,0.0189
CountingSort,1000,999999,2.5389
RadixSort,1000,999999,0.0400
ARUCountingSort,1000,999999,0.0805
MergeSort,1000,9999999,0.0414
QuickSort,1000,9999999,0.0194
CountingSort,1000,9999999,7.0039
RadixSort,1000,9999999,0.0327
ARUCountingSort,1000,9999999,0.0371
MergeSort,1000,99999999,0.0434
QuickSort,1000,99999999,0.0196
CountingSort,1000,99999999,58.5805
RadixSort,1000,99999999,0.0352
ARUCountingSort,1000,99999999,0.0585
MergeSort,1000,999999999,0.0382
QuickSort,1000,999999999,0.0165
CountingSort,1000,999999999,603.9244
RadixSort,1000,999999999,0.0407
ARUCountingSort,1000,999999999,0.1061
MergeSort,10000,9999,0.6645
QuickSort,10000,9999,0.4219
CountingSort,10000,9999,0.0223
RadixSort,10000,9999,0.1854
ARUCountingSort,10000,9999,0.1045
MergeSort,10000,99999,0.6708
QuickSort,10000,99999,0.4968
CountingSort,10000,99999,0.0824
RadixSort,10000,99999,0.2039
ARUCountingSort,10000,99999,0.0333
MergeSort,10000,999999,0.6468
QuickSort,10000,999999,0.4267
CountingSort,10000,999999,0.6034
RadixSort,10000,999999,0.2540
ARUCountingSort,10000,999999,0.0422
MergeSort,10000,9999999,0.5693
QuickSort,10000,9999999,0.3959
CountingSort,10000,9999999,5.7980
RadixSort,10000,9999999,0.2469
ARUCountingSort,10000,9999999,0.0378
MergeSort,10000,99999999,0.5779
QuickSort,10000,99999999,0.3800
CountingSort,10000,99999999,56.3874
RadixSort,10000,99999999,0.2798
ARUCountingSort,10000,99999999,0.0523
MergeSort,10000,999999999,0.5725
QuickSort,10000,999999999,0.5105
CountingSort,10000,999999999,547.9714
RadixSort,10000,999999999,0.3386
ARUCountingSort,10000,999999999,0.1350
MergeSort,100000,99999,7.5532
QuickSort,100000,99999,4.8177
CountingSort,100000,99999,0.2943
RadixSort,100000,99999,1.7334
ARUCountingSort,100000,99999,0.3222
MergeSort,100000,999999,7.5033
QuickSort,100000,999999,4.8425
CountingSort,100000,999999,0.9721
RadixSort,100000,999999,2.1149
ARUCountingSort,100000,999999,0.3160
MergeSort,100000,9999999,7.5158
QuickSort,100000,9999999,4.9591
CountingSort,100000,9999999,6.7619
RadixSort,100000,9999999,2.5169
ARUCountingSort,100000,9999999,0.3258
MergeSort,100000,99999999,7.5208
QuickSort,100000,99999999,4.9401
CountingSort,100000,99999999,56.3164
RadixSort,100000,99999999,2.8552
ARUCountingSort,100000,99999999,0.3765
MergeSort,100000,999999999,7.6317
QuickSort,100000,999999999,4.9602
CountingSort,100000,999999999,548.3294
RadixSort,100000,999999999,3.3690
ARUCountingSort,100000,999999999,0.5302
MergeSort,1000000,999999,88.8162
QuickSort,1000000,999999,56.3951
CountingSort,1000000,999999,3.7238
RadixSort,1000000,999999,21.2444
ARUCountingSort,1000000,999999,3.2710
MergeSort,1000000,9999999,88.9377
QuickSort,1000000,9999999,58.3843
CountingSort,1000000,9999999,15.6741
RadixSort,1000000,9999999,24.8461
ARUCountingSort,1000000,9999999,3.4014
MergeSort,1000000,99999999,89.1587
QuickSort,1000000,99999999,57.1124
CountingSort,1000000,99999999,68.3794
RadixSort,1000000,99999999,28.2618
ARUCountingSort,1000000,99999999,3.7193
MergeSort,1000000,999999999,89.9334
QuickSort,1000000,999999999,57.9789
CountingSort,1000000,999999999,593.4139
RadixSort,1000000,999999999,31.8689
ARUCountingSort,1000000,999999999,4.5670
